Date;Population
31.12.1950;50958125
31.12.1951;51434777
31.12.1952;51863761
31.12.1953;52453806
31.12.1954;52943295
31.12.1955;53517683
31.12.1956;53339626
31.12.1957;54064365
31.12.1958;54719159
31.12.1959;55257088
31.12.1960;55958321
31.12.1961;56589148
31.12.1962;57247246
31.12.1963;57864509
31.12.1964;58587451
31.12.1965;59296591
31.12.1966;59792934
31.12.1967;59948474
31.12.1968;60463033
31.12.1969;61194591
31.12.1970;61001164
31.12.1971;61502503
31.12.1972;61809378
31.12.1973;62101369
31.12.1974;61991475
31.12.1975;61644624
31.12.1976;61441996
31.12.1977;61352745
31.12.1978;61321663
31.12.1979;61439342
31.12.1980;61657945
31.12.1981;61712689
31.12.1982;61546101
31.12.1983;61306669
31.12.1984;61049256
31.12.1985;61020474
31.12.1986;61140461
31.12.1987;61238079
31.12.1988;61715103
31.12.1989;62679035
31.12.1990;79753227
31.12.1991;80274564
31.12.1992;80974632
31.12.1993;81338093
31.12.1994;81538603
31.12.1995;81817499
31.12.1996;82012162
31.12.1997;82057379
31.12.1998;82037011
31.12.1999;82163475
31.12.2000;82259540
31.12.2001;82440309
31.12.2002;82536680
31.12.2003;82531671
31.12.2004;82500849
31.12.2005;82437995
31.12.2006;82314906
31.12.2007;82217837
31.12.2008;82002356
31.12.2009;81802257
31.12.2010;81751602
31.12.2011;80327900
31.12.2012;80523746
31.12.2013;80767463
31.12.2014;81197537
31.12.2015;82175684
31.12.2016;82521653
31.12.2017;82792351
31.12.2018;83019213
31.12.2019;83166711
31.12.2020;83155031
31.12.2021;83237124
31.12.2022;84358845
